iter	Passed	Remaining
0	143	143270
1	158	78976
2	178	59435
3	186	46541
4	193	38495
5	199	33121
6	204	29073
7	209	25982
8	214	23652
9	219	21717
10	223	20135
11	228	18814
12	234	17775
13	238	16826
14	243	15976
15	249	15317
16	253	14648
17	257	14051
18	262	13554
19	266	13079
20	271	12643
21	275	12237
22	280	11915
23	284	11574
24	288	11266
25	293	10982
26	298	10749
27	302	10494
28	306	10256
29	311	10059
30	315	9856
31	319	9660
32	323	9472
33	328	9330
34	332	9164
35	337	9029
36	341	8882
37	346	8771
38	350	8637
39	354	8506
40	359	8414
41	364	8314
42	368	8198
43	372	8088
44	377	8017
45	382	7923
46	386	7827
47	390	7748
48	395	7669
49	399	7581
50	402	7494
51	407	7433
52	411	7361
53	415	7283
54	419	7209
55	424	7158
56	428	7095
57	432	7029
58	436	6969
59	442	6935
60	447	6881
61	451	6826
62	456	6784
63	460	6735
64	464	6685
65	468	6633
66	474	6602
67	478	6555
68	482	6507
69	487	6479
70	492	6447
71	496	6404
72	500	6358
73	505	6328
74	509	6287
75	513	6243
76	517	6205
77	523	6183
78	527	6145
79	530	6105
80	535	6072
81	540	6047
82	544	6016
83	548	5981
84	553	5956
85	557	5926
86	561	5893
87	565	5858
88	570	5839
89	574	5809
90	578	5776
91	582	5745
92	587	5727
93	591	5699
94	595	5669
95	599	5642
96	603	5620
97	607	5591
98	611	5562
99	615	5537
100	619	5517
101	623	5490
102	627	5465
103	631	5441
104	636	5423
105	639	5397
106	644	5375
107	648	5356
108	653	5340
109	658	5324
110	661	5301
111	666	5284
112	670	5261
113	674	5238
114	677	5216
115	682	5204
116	686	5182
117	690	5162
118	694	5141
119	701	5145
120	707	5142
121	714	5140
122	721	5146
123	728	5149
124	737	5159
125	744	5163
126	751	5167
127	758	5168
128	765	5171
129	772	5173
130	780	5174
131	787	5175
132	794	5180
133	801	5179
134	809	5184
135	816	5190
136	822	5183
137	829	5178
138	834	5166
139	838	5151
140	842	5135
141	846	5116
142	850	5097
143	855	5082
144	859	5066
145	861	5037
146	864	5018
147	868	5002
148	873	4991
149	875	4963
150	879	4946
151	883	4929
152	888	4918
153	892	4905
154	896	4889
155	901	4875
156	905	4859
157	908	4842
158	912	4827
159	916	4811
160	921	4800
161	925	4786
162	929	4771
163	933	4758
164	937	4745
165	942	4735
166	946	4720
167	950	4706
168	954	4694
169	959	4682
170	962	4668
